Catalyst,Field,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10
5%Ru-CAC in decane,time (min),0,10,20,30,40,60,80,100,120,,
5%Ru-CAC in decane,cyclohexane,0,0.008859613,0.011354159,0.014548628,0.019616433,0.022660135,0.024137352,0.023409642,0.024020326,,
5%Ru-CAC in decane,methoxycyclohexane,0,0,0.001326405,0.000956267,0.001471656,0.001910815,0.003042041,0.003350955,0.003322907,,
5%Ru-CAC in decane,cyclohexanol,0,0.010005632,0.024166734,0.026762002,0.033282179,0.041358337,0.050492911,0.059702749,0.063844997,,
5%Ru-CAC in decane,cyclohexanone,0,0.003573802,0.007025166,0.005355805,0.005813041,0.005029392,0.005261787,0.006424466,0.004376998,,
5%Ru-CAC in decane,methoxycyclohexanone,0,0.013909349,0.03401229,0.039507582,0.045184481,0.059258071,0.070917107,0.085878577,0.094348312,,
5%Ru-CAC in decane,guaiacol,0.232874907,0.111010445,0.093512886,0.071748307,0.066111392,0.063369717,0.05730174,0.054883585,0.048006695,,
5%Ru-CAC in decane,time (min),0,10,20,30,40,60,80,100,120,,
5%Ru-CAC in decane,cyclohexane,0,0.00834011,0.009220129,0.00975613,0.012621885,0.012092866,0.01134373,0.014213944,0.019588977,,
5%Ru-CAC in decane,methoxycyclohexane,0,0,0.000809197,0.000938006,0.001854694,0.002024051,0.002143119,0.003102369,0.003288883,,
5%Ru-CAC in decane,cyclohexanol,0,0.008432231,0.020338757,0.027914965,0.035497101,0.043604287,0.052060634,0.057224029,0.060156859,,
5%Ru-CAC in decane,cyclohexanone,0,0.002133411,0.003719577,0.003351111,0.003313507,0.002857647,0.002257316,0.002011025,0.002342453,,
5%Ru-CAC in decane,methoxycyclohexanone,0,0.029794987,0.034667237,0.059007134,0.07563083,0.076784474,0.112997401,0.113980251,0.121452218,,
5%Ru-CAC in decane,guaiacol,0.232874907,0.168743883,0.136391115,0.122879611,0.102386178,0.081885209,0.06337408,0.04771476,0.035405378,,
5%Ru-CAC in decane,time (min),0,10,20,30,40,60,80,100,120,,
5%Ru-CAC in decane,cyclohexane,0,0.00710154,0.009669385,0.011423368,0.012420851,0.014084918,0.015892198,0.015648067,0.017303016,,
5%Ru-CAC in decane,methoxycyclohexane,0,0,0.000837638,0.001188168,0.00152052,0.00219556,0.002658594,0.00307858,0.003388799,,
